state,county,pop2018,65plus2018,dens2019,cases,first_case,deaths,first_death,stay_home_date,r_percent,d_percent,g_percent,l_percent,poverty,obesity
Texas,Lamb County,13158,2216,12.95,43.0,2020-03-28,0.0,,2020-04-02,77.8489116517,19.7183098592,0.204865556978,2.22791293214,17.7,0.298
Texas,Lampasas County,21229,4165,29.78,47.0,2020-04-03,0.0,,2020-04-02,78.1813719475,18.1494661922,0.576757884403,3.09240397595,15.95,0.29
Texas,Lavaca County,20110,4683,20.74,110.0,2020-03-14,2.0,2020-04-25,2020-04-02,85.0110042859,13.5526468203,0.13900150585,1.29734738793,10.65,0.292
Texas,Lee County,17144,3170,27.26,49.0,2020-04-02,0.0,,2020-04-02,76.6022692426,21.0364918737,0.429316160687,1.93192272309,10.6,0.329
Texas,Leon County,17270,4226,16.09,93.0,2020-03-30,0.0,,2020-04-02,86.2832455785,12.2721749696,0.175509653031,1.26906979884,18.0,0.294
Texas,Liberty County,86323,11052,74.52,559.0,2020-03-25,0.0,,2020-04-02,78.0625129373,20.0827985924,0.347754088181,1.50693438212,15.6,0.319
Texas,Limestone County,23519,4581,25.98,231.0,2020-03-24,23.0,2020-04-04,2020-04-02,75.1438284519,22.8556485356,0.353033472803,1.64748953975,19.6,0.297
Texas,Lipscomb County,3355,608,3.6,0.0,,0.0,,2020-04-02,87.6701966717,10.2118003026,0.226928895613,1.89107413011,14.85,0.296
Texas,Live Oak County,12166,2505,11.7,85.0,2020-04-01,0.0,,2020-04-02,80.8530583548,17.3189594563,0.304663698149,1.52331849074,15.0,0.295
Texas,Llano County,21646,7818,23.17,92.0,2020-03-25,0.0,,2020-04-02,79.8207574443,17.5869711863,0.616748578587,1.97552279079,11.45,0.252
Texas,Loving County,152,15,0.23,0.0,,0.0,,2020-04-02,89.0625,6.25,3.125,1.5625,0.0,0.299
Texas,Lubbock County,307412,38200,343.25,8201.0,2020-03-20,512.0,2020-04-01,2020-04-02,66.8631450133,28.5090760759,0.642463797675,3.9853151132,18.95,0.282
Texas,Lynn County,5877,990,6.59,117.0,2020-03-28,4.0,2020-04-23,2020-04-02,77.4161241863,20.1802704056,0.350525788683,2.05307961943,16.6,0.303
Texas,Madison County,14422,2251,30.94,21.0,2020-04-15,0.0,,2020-04-02,78.1928554751,20.5696941396,0.18678496381,1.05066542143,20.7,0.313
Texas,Marion County,9928,2618,26.07,52.0,2020-04-16,0.0,,2020-04-02,70.5658582977,27.4845458868,0.309082263433,1.64051355207,21.3,0.317
Texas,Martin County,5753,648,6.29,53.0,2020-03-26,0.0,,2020-04-02,82.792022792,15.1566951567,0.2849002849,1.76638176638,7.55,0.297
Texas,Mason County,4280,1220,4.61,23.0,2020-04-04,0.0,,2020-04-02,80.6624452021,17.1943497321,0.34096444228,1.80224062348,15.75,0.274
Texas,Matagorda County,36552,6221,33.44,1265.0,2020-03-15,80.0,2020-03-24,2020-04-02,69.1654639613,28.4998726547,0.415994566602,1.91866881739,21.75,0.302
Texas,Maverick County,58485,6916,45.71,250.0,2020-03-25,0.0,,2020-04-02,20.7241683839,76.5160435679,0.802178392699,1.95760965558,31.9,0.303
Texas,McCulloch County,7987,1778,7.5,51.0,2020-04-09,0.0,,2020-04-02,82.5016202203,15.5541153597,0.291639662994,1.65262475697,23.1,0.294
Texas,McLennan County,254607,36615,245.49,2035.0,2020-03-19,67.0,2020-04-01,2020-04-02,61.6510127148,34.5613698805,0.604434221455,3.18318318318,20.6,0.304
Texas,McMullen County,749,180,0.66,0.0,,0.0,,2020-04-02,91.3480885312,8.04828973843,0.201207243461,0.402414486922,6.3,0.296
Texas,Medina County,50921,8489,38.42,319.0,2020-03-18,29.0,2020-04-09,2020-04-02,70.1344039099,26.9040553907,0.616745214406,2.34479548496,15.85,0.282
Texas,Menard County,2139,679,2.37,0.0,,0.0,,2020-04-02,79.1860465116,17.7906976744,0.116279069767,2.90697674419,19.5,0.291
Texas,Midland County,172578,17799,191.68,1074.0,2020-03-21,65.0,2020-03-24,2020-04-02,75.6794453675,20.4972001723,0.416384632741,3.4069698275,12.65,0.281
Texas,Milam County,25131,5098,24.71,215.0,2020-03-25,3.0,2020-04-24,2020-04-02,73.6609736261,23.7248751017,0.569304054839,2.04484721738,17.65,0.312
Texas,Mills County,4921,1406,6.58,0.0,,0.0,,2020-04-02,87.0866845398,10.8132260947,0.268096514745,1.83199285076,15.75,0.304
Texas,Mitchell County,8145,1240,8.94,20.0,2020-04-07,0.0,,2020-04-02,81.2785388128,16.1187214612,0.319634703196,2.28310502283,15.45,0.292
Texas,Montague County,19596,4315,21.05,92.0,2020-03-27,6.0,2020-04-21,2020-04-02,87.4709437471,10.2859135286,0.267317526732,1.97582519758,13.05,0.283
Texas,Montgomery County,590925,77263,566.95,7790.0,2020-03-10,135.0,2020-04-02,2020-04-02,73.9539991038,22.5247805085,0.499795650054,3.02142473767,10.95,0.289
Texas,Moore County,21485,2343,23.88,1801.0,2020-03-30,16.0,2020-04-20,2020-04-02,75.5226149753,20.8285822881,0.494108703915,3.15469403269,13.05,0.315
Texas,Morris County,12339,2703,48.97,87.0,2020-03-24,0.0,,2020-04-02,69.3593875907,28.7066881547,0.382755842063,1.55116841257,18.25,0.319
Texas,Motley County,1234,374,1.25,14.0,2020-04-13,0.0,,2020-04-02,92.0967741935,6.45161290323,0.0,1.45161290323,24.75,0.275
Texas,Nacogdoches County,65711,9685,69.42,1495.0,2020-03-26,95.0,2020-04-03,2020-04-02,65.7646009808,30.4146232724,0.699955416852,3.12082032992,23.6,0.298
Texas,Navarro County,49565,8429,49.09,387.0,2020-03-27,40.0,2020-04-02,2020-04-02,73.1534611159,24.4048345745,0.347942864119,2.09376144549,19.9,0.337
Texas,Newton County,13746,2821,14.72,42.0,2020-04-01,0.0,,2020-04-02,73.8403990025,24.3890274314,0.274314214464,1.49625935162,15.1,0.323
Texas,Nolan County,14751,2694,16.17,3.0,2020-04-24,0.0,,2020-04-02,74.8524451939,21.6905564924,0.463743676223,2.99325463744,19.35,0.292
Texas,Nueces County,362265,52215,432.14,2041.0,2020-03-22,7.0,2020-04-21,2020-04-02,48.7735431617,47.2325362165,0.813790184498,3.18013043729,19.4,0.294
Texas,Ochiltree County,9947,1108,10.84,11.0,2020-04-24,2.0,2020-04-25,2020-04-02,88.1583361288,9.19154646092,0.167728950017,2.48238846025,17.45,0.296
Texas,Oldham County,2131,319,1.42,86.0,2020-03-21,34.0,2020-03-24,2020-04-02,89.9470899471,8.25396825397,0.31746031746,1.48148148148,16.0,0.304
Texas,Orange County,83572,13466,250.37,1027.0,2020-03-25,0.0,,2020-04-02,79.9250653317,17.9969144548,0.36207927962,1.71594093385,14.4,0.329
Texas,Palo Pinto County,28875,5639,30.31,113.0,2020-04-02,16.0,2020-04-11,2020-04-02,80.8058968059,16.7076167076,0.471744471744,2.01474201474,14.0,0.281
Texas,Panola County,23148,4438,28.53,666.0,2020-04-02,24.0,2020-04-03,2020-04-02,81.1005473927,17.6222030155,0.230481129358,1.0467684625,13.55,0.31
Texas,Parker County,138371,21302,153.11,392.0,2020-03-23,0.0,,2020-04-02,82.309042242,14.7643273714,0.379345186393,2.54728520022,10.2,0.312
Texas,Parmer County,9864,1355,11.2,22.0,2020-04-19,0.0,,2020-04-02,67.8140525195,30.092264017,0.14194464159,1.95173882186,18.8,0.318
Texas,Pecos County,15673,2101,3.29,75.0,2020-04-06,0.0,,2020-04-02,59.1072714183,37.2210223182,0.623950083993,3.04775617951,18.45,0.295
Texas,Polk County,50031,9422,47.33,295.0,2020-03-29,0.0,,2020-04-02,77.189060504,20.6799442573,0.386134014632,1.74486122402,22.2,0.342
Texas,Potter County,119648,14922,131.71,2689.0,2020-03-21,57.0,2020-04-05,2020-04-02,68.8280974232,26.8972820332,0.67066713731,3.60395340628,22.25,0.342
Texas,Presidio County,6948,1607,1.8,0.0,,0.0,,2020-04-02,29.5960054471,66.1824784385,1.31638674535,2.90512936904,26.8,0.252
Texas,Rains County,12159,2983,52.99,29.0,2020-04-10,0.0,,2020-04-02,84.6436285097,13.3693304536,0.323974082073,1.66306695464,13.2,0.293
Texas,Randall County,136271,20536,149.43,1966.0,2020-03-28,48.0,2020-04-06,2020-04-02,80.6106331184,15.4981138387,0.42183115604,3.4694218869,9.4,0.259
Texas,Reagan County,3741,420,3.18,0.0,,0.0,,2020-04-02,78.7777777778,18.5555555556,0.222222222222,2.44444444444,9.4,0.295
Texas,Real County,3478,1025,4.97,0.0,,0.0,,2020-04-02,82.3599523242,15.6138259833,0.357568533969,1.66865315852,23.6,0.289
Texas,Red River County,12175,2996,11.66,11.0,2020-04-16,0.0,,2020-04-02,76.2385855838,22.3042549058,0.155430347775,1.30172916262,17.35,0.315
Texas,Reeves County,15695,1879,5.96,0.0,,0.0,,2020-04-02,44.5037688442,52.1042713568,0.314070351759,3.07788944724,28.3,0.309
Texas,Refugio County,7032,1590,9.13,0.0,,0.0,,2020-04-02,62.1392190153,35.1103565365,0.339558573854,2.41086587436,15.25,0.299
Texas,Roberts County,903,189,0.98,20.0,2020-04-16,0.0,,2020-04-02,95.2727272727,3.63636363636,0.0,1.09090909091,13.65,0.286
Texas,Robertson County,17284,3336,20.21,64.0,2020-03-24,0.0,,2020-04-02,66.547788873,31.4265335235,0.242510699001,1.78316690442,21.25,0.314
Texas,Rockwall County,100657,12594,791.89,706.0,2020-03-26,0.0,,2020-04-02,71.8358673379,24.369450277,0.523666169142,3.27101621594,5.25,0.277
Texas,Runnels County,10234,2126,9.74,0.0,,0.0,,2020-04-02,86.0823373174,12.005312085,0.345285524568,1.56706507304,20.45,0.326
Texas,Rusk County,54450,9027,58.93,513.0,2020-03-18,10.0,2020-04-17,2020-04-02,77.2612403917,20.717068548,0.268505843951,1.75318521638,12.9,0.352
Texas,Sabine County,10589,3234,21.54,11.0,2020-04-16,0.0,,2020-04-02,85.9974149074,13.2270573029,0.193881947436,0.581645842309,17.0,0.32
Texas,San Augustine County,8232,2177,15.51,245.0,2020-04-01,24.0,2020-04-03,2020-04-02,73.5335391524,25.4560763402,0.168397417906,0.841987089531,26.8,0.291
Texas,San Jacinto County,28719,6280,50.45,144.0,2020-03-29,0.0,,2020-04-02,78.1174187288,19.7379912664,0.504609412906,1.63998059195,19.2,0.304
